Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:018pVg2KCTaEClitdZEp37,"שמחות קטנות","אותו מקום אותה הרוח","עמיר בניון",1999-01-01,259448,40,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:17:38Z,"מזרחית","Unicell",0.607,0.608,4,-8.536,0,0.0295,0.502,0.0439,0.0796,0.404,115.958,4
spotify:track:52U4eEMOwjHVq3Qgf8dA2C,"מחפש תשובה","מציאות נפרדת","היהודים",1995-01-08,245493,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:18:05Z,"","Hed Arzi Ltd",0.602,0.759,8,-6.673,1,0.12,0.00474,0.00000278,0.345,0.662,134.057,4
spotify:track:2Rn2qItldrMYs4AUi8tyks,"נפלת חזק","זמן סוכר","איפה הילד",1993-01-01,296360,44,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:18:12Z,"","Anana",0.484,0.479,11,-10.629,1,0.0263,0.0021,0.000751,0.11,0.326,99.565,3
spotify:track:418AYvNVixfulANGlXE7xY,"עוד נגיעה","שינויים בהרגלי הצריחה","החברים של נטאשה",2015-03-05,306666,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:18:28Z,"מזרחית","The Eight Note",0.489,0.526,7,-13.556,1,0.0258,0.00865,0.000191,0.127,0.454,103.991,4
spotify:track:2uhSwnfFowkJYAKwmWmAjm,"פרדי על הבוקר","רדיו בלה בלה","החברים של נטאשה",2015-03-06,382293,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:18:34Z,"מזרחית","The Eight Note",0.408,0.44,7,-10.64,0,0.0337,0.327,0.00708,0.109,0.0851,125.995,4
spotify:track:5pzwB4XbcdYYsAuv12dNtw,"היי","בית","עילי בוטנר;Yaldei Hachutz",2017-09-05,228875,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:18:58Z,"מזרחית","NMC United Entertainment Ltd.",0.556,0.664,2,-7.293,0,0.0318,0.0218,0,0.07,0.39,109.003,4
spotify:track:67dg9xeMIRXjcQbmbWtBFW,"אלוף העולם","אלוף העולם","חנן בן ארי",2019-02-17,215625,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:19:11Z,"מזרחית","Mobile1 Music",0.583,0.433,10,-8.309,0,0.0501,0.746,0,0.133,0.22,127.513,4
spotify:track:1roNiRl3vf5mMtN38P770r,"Aba","Ani Shar Elaich","שלומי שבת",2014-03-01,241533,31,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:19:18Z,"מזרחית","Teta",0.552,0.415,10,-8.651,0,0.0269,0.34,0,0.148,0.326,135.966,4
spotify:track:7Ck421SAROdN0Q6RXMbic7,"הלב שלי","אלול תשע״ט","ישי ריבו",2019-09-15,239000,50,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:19:47Z,"מזרחית","2019 Ishay Ribo BY PIL LTD",0.563,0.419,3,-9.262,1,0.0294,0.643,0.0000281,0.0693,0.256,136.01,4
spotify:track:1vTVrYErMEixGuPZFZGg6C,"רוק 30","גם זה יעבור","טונה",2015-08-06,277241,47,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:19:54Z,"מזרחית","Anana",0.515,0.841,3,-7.014,0,0.192,0.167,0.0000082,0.0768,0.608,86.85,4
spotify:track:5pRANmHOjD5Ig6qJy250vk,"מרוב אהבה שותק","אין אף אחד בבית","בעז בנאי",2013-11-11,207226,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:20:01Z,"","NMC United Entertainment Ltd.",0.568,0.604,11,-4.056,0,0.026,0.433,0,0.122,0.396,103.988,4
spotify:track:094EomfUAtwLtniHpIHzzr,"מות התפוז","זמן התפוז","רונה קינן",2019-03-07,184014,28,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:20:28Z,"","Helicon Music",0.674,0.521,0,-9.698,1,0.0278,0.416,0.0000489,0.109,0.737,138.036,4
spotify:track:3ncNTFdLjuXOmp1Jdt7xwW,"פקק תנועה","עומד על נייר","אביתר בנאי",2005-01-03,221106,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:20:52Z,"מזרחית","Hed Arzi Ltd",0.322,0.664,4,-5.677,1,0.0312,0.187,0.00022,0.0725,0.363,179.917,3
spotify:track:4gA6WqqWBMZHHoGaGkhy2J,"בסוף של יום","על המשמרת","פורטיסחרוף;רמי פורטיס;ברי סחרוף",2006-03-09,218266,39,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:21:24Z,"מזרחית","NaNa Disc",0.494,0.576,6,-7.04,0,0.0259,0.114,0.00115,0.107,0.618,74.878,4
spotify:track:36Zm3xkTHorNCj87ecEfDn,"רכבת לצפון","הרי את","אסף אמדורסקי",2008-12-23,251693,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:21:48Z,"מזרחית","The Eight Note",0.593,0.869,5,-5.199,1,0.0304,0.023,0.00522,0.53,0.89,110,3
spotify:track:6qs1j8cwCDt94Wc92LvH8s,"אור ישראלי","אור ישראלי","שלום חנוך",2003-03-19,284906,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:22:15Z,"מזרחית","NMC United Entertainment Ltd.",0.53,0.644,0,-8.085,0,0.0259,0.551,0.0000198,0.149,0.286,92.846,4
spotify:track:6G9nY0aJNcQ8BHJjgRCgZ5,"יצאנו לרקוד","קובי","הדורבנים",2003-01-06,288680,38,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:23:01Z,"","Helicon Music",0.662,0.889,9,-6.325,1,0.0446,0.0179,0.000367,0.131,0.857,126.093,4
spotify:track:3Zcm1DH6YSlU9y0WAz8F3i,"אני רץ","מתוך בחירה","דודו טסה",2003-01-01,176240,44,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:23:05Z,"מזרחית","Helicon Music",0.736,0.745,8,-5.631,0,0.0282,0.358,0.000292,0.0738,0.917,106.029,4
spotify:track:6atDujMlDv0VSxRqFzIjs6,"לולה","לולה","דודו טסה",2006-07-05,198666,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:23:10Z,"מזרחית","Hed Arzi Ltd.",0.503,0.601,11,-5.991,0,0.0319,0.53,0,0.133,0.302,151.852,4
spotify:track:1qbleovieFzt9syTjiF98Y,"כמה עוד אפשר","הראל סקעת","הראל סקעת",2006-03-07,260706,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:23:27Z,"מזרחית","Hed Arzi Ltd",0.47,0.704,9,-3.705,1,0.0322,0.136,0,0.066,0.392,81.073,4
spotify:track:3tHJRYN2OSOdgSJq1X8yeb,"הריקוד המוזר של הלב","עיניים זרות (Deluxe Edition)","רונה קינן;גידי גוב",2007-02-21,260279,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:23:44Z,"מזרחית","NMC United Entertainment Ltd.",0.581,0.565,5,-6.637,0,0.0468,0.521,0.000112,0.191,0.585,175.91,3
spotify:track:0h9lqpfcS37U6zvDCKwQhX,"אייכה","נקודה טובה","שולי רנד",2008-04-24,246920,47,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:23:52Z,"מזרחית","NaNa Disc",0.544,0.228,1,-11.52,1,0.0285,0.941,0.0000163,0.112,0.216,83.934,4
spotify:track:6qIROspfCaewxJl3EqPq2M,"עירומים","עירומים","שחר אבן צור",2003-01-01,235693,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:24:27Z,"","Hed Arzi Ltd.",0.651,0.73,9,-6.249,1,0.0434,0.303,0,0.0659,0.943,170.011,4
spotify:track:01kMO31r8a5dDpZyJ3xBRQ,"בין האצבעות","רותי נבון","רותי נבון",1974-01-01,315666,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:25:00Z,"","Hed Arzi Ltd.",0.348,0.821,5,-10.364,0,0.145,0.755,0.161,0.612,0.623,189.089,4
spotify:track:5pMHe8o0ZIQ463FQ1NUveG,"מוסיקה (מעלה מעלה)","מוסיקה","צביקה פיק",1978-12-01,258173,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:25:05Z,"מזרחית","NMC United Entertainment Ltd.",0.56,0.887,4,-8.088,1,0.103,0.254,0.00000829,0.039,0.766,147.131,4
spotify:track:6D05kiqWifuvY78Hp7ayBp,"עוד תראי את הדרך","סוף היום","מתי כספי",1981-10-01,296426,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:25:39Z,"","NMC United Entertainment Ltd.",0.687,0.583,11,-10.086,0,0.0333,0.489,0.0223,0.0826,0.709,101.685,4
spotify:track:6Cv7NuNWXLfjmYo0ikVTeq,"אלף כבאים","דודה","דודה",1980-12-01,249000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:25:54Z,"","NMC United Entertainment Ltd.",0.728,0.513,0,-10.514,1,0.0446,0.115,0.00000106,0.111,0.891,124.594,4
spotify:track:06ltmIGMSx0EgSCgmMPWg9,"ניגע אל החלום","על פני האדמה","שלום חנוך",1983-11-01,203800,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:26:13Z,"מזרחית","NMC United Entertainment Ltd.",0.297,0.108,4,-16.276,1,0.0381,0.93,0.0000179,0.125,0.225,125.852,4
spotify:track:6b6tkDNm51Lx253ndAEtNN,"When You're Gone","Churchill's","צ'רצ'ילים",1969-09-01,199626,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:26:48Z,"רוק פסיכדלי,אסיד רוק","Hed Arzi Ltd.",0.48,0.449,2,-14.561,1,0.0279,0.375,0.591,0.225,0.6,102.074,4
spotify:track:7pvk9fxKdUfQFulPJZrKrT,"אילו ציפורים","הלהקה - פסקול הסרט","Participants of 'The Troup'",1977-01-01,214000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:27:07Z,"","NMC United Entertainment Ltd.",0.426,0.324,0,-13.768,1,0.0277,0.62,0,0.121,0.546,110.442,4
